Indonesian,Javanese
"Pak John sangat pandai memancing ikan di danau itu, dia selalu dapat menangkap ikan yang besar.","Pak John amat pandhé dhumateng iwak tumindak danau wonten iki, dheweke saged tangkap iwak sing gedhé sajroning."
"Pada umumnya, anak-anak yang berusia di bawah 12 tahun membutuhkan waktu tidur sekitar 10-12 jam per hari untuk mendukung pertumbuhan dan perkembangan fisik dan mentalnya.","Ing umum, bocah ingkang umure dibawah 12 taun panganggo kathah ingkang gludhug nalika saged watu panawon ingkang luwih kurang-lebihé 10-12 jam saben dinten kanggo nindakake pertumbuhan lan kemawonan jasmani lan rohani."
Bagaimana bisa kamu sekaliber kamu bisa kalah dari pemain amatir seperti itu?,Kowé sing sekalebur kowé iso kiwa saka kae raket sing amatir kaya iku?
Anjing ini sangat penurut dan senang bermain dengan bola.,Jenenge asu iki banget ndeleng lan seneng main bola.
Pada saat itu langit begitu cerah dan cuaca sedang sangat terik.,Ing sajroning waktu langit ki cilik banget uga ujan sedheng.
"Selain itu, mereka juga mengundang beberapa artis terkenal untuk tampil di acara itu, seperti Raisa, GAC, dan Isyana Sarasvati.","Samentara iku, dheweke uga ngundang sabenewe artis tenar kanggo nampil ing acara iku, kaya Raisa, GAC, lan Isyana Sarasvati."
"Ibu perlu diistirahatkan sejenak untuk mengembalikan energinya. Cobalah beristirahat sebentar ya, Bu.","Ibu perlu dipidhahaken golek tenang tanpa dhatengi energine. Coba pepundhi pirembaghan sawetara yo, Bu."
"Pulau Bali terkenal dengan pantainya yang indah, kebudayaan yang unik, dan makanan khas yang lezat.","Pulo Bali terkenal karo pantaina sing ndhik manggih, kebudayaane sing aneh, lan panganan khas sing enak."
Rencana sekolah untuk mengadakan kegiatan sosial di lingkungan sekitar mendapatkan sambutan baik dari warga sekitar. Mereka siap membantu dan menyumbangkan tenaga serta dana untuk kegiatan tersebut.,Rencana sekolah kanggo ndamel kegiatan sosial ing lingkungan sekitar dilakoni acungan jempol saka warga sekitar. Dheweke tansah sedia nguliti lan nyumbangake tangan lan dana kanggo kegiatan iki.
"Setiap kali musim hujan tiba, sungai di daerah kami selalu meluap.","Saben kale musim ujan tiba, sungai nang kono saged meluwi."
"Dia terus melihat ke langit, melihat sang mentari yang perlahan mulai tenggelam di ufuk Barat.","Dheweke tetep matur lungaku, ngelih mentari sing entuk ambyar banjur manah ing ufuk Wetan."
"Banyak orang berbondong-bondong menghadiri acara tersebut, bahkan sampai menimbulkan kemacetan di jalan raya.","Akeh wong aja-aja mrekes nggonake acara iku, uga sampek ngasilke kemacetan ing jalan raya."
Saya ingin membeli dua gelas jus jeruk dan satu potong kue cokelat.,Kula pengin mbeli loro gelas jus jeruk lan siji pitung kue coklat.
"Saat itu, saya tersadar bahwa jatuh cinta tak bisa ditebak dan tak bisa dipilih.","Ing wulan iku, aku supados sadar manawa ngrasakne cinta ora bisa ditrapake lan ora bisa milih-milih."
"Walaupun suatu hal tersebut sulit diterima logika, namun ia tetap terjadi dan musti dihadapi.","Ana suatu hal sing susah kapriyèn logika, nanging iku tetep kasil terjadi lan kudu diwatèni."
"Bahasa Inggris dipakai sebagai bahasa pergaulan dalam masyarakat internasional, sedangkan bahasa Mandarin menjadi bahasa utama dalam aktivitas bisnis di Asia.","Basa Inggris digunakake minangka basa temenan ing masyarakat internasional, sementara basa Mandarin mangga menjadi basa utama ing kegiatan bisnis ing Asia."
"Selepas Shalat Subuh, mereka berangkat ke sawah dengan membawa alat pertanian yang beraneka ragam seperti cangkul, sabit, dan tanduk.","Sawise shalat shubuh, durung lanang ngarep ke sawah karo nampa alat pertanian kang kerap dipaké kaya cangkul, sabit, lan tandhuk."
Pengantin perempuan itu memakai gaun putih dengan hiasan bunga-bunga segar di rambutnya.,Pengantin wanita iku gandheng nggunakno gaun putih karo ornamen kembang-kembang segar ing rambute.
Kucing hitam itu selalu tidur di kursi panjang.,Kucing ireng tetep turu ing kursi gandheng.
"Dia menatap ke arah langit, memandangi bintang yang berserakan di sana, menghirup udara segar di malam yang dingin.","Dheweke nengok menyang langit, nembangaké bintang sing loro-loro nang ngendi, njupuk aer segar ing panyingkiran wengi sing adem."
"Setelah menikmati makan siang, kami beristirahat sejenak sebelum melanjutkan perjalanan.","Sawise meh ngetan konangan, kita irahat selahe sathit sajrone mburi mreksa perjalanan."
Seluruh peserta diwajibkan untuk mengikuti protokol kesehatan dengan memakai masker dan menjaga jarak guna mencegah penyebaran virus COVID-19.,Kabeh peserta wajib ndadekake protokol kasehatan kanthi nggunakake masker lan ngontrol jarak guna ngraksa peredaran virus COVID-19.
"Hari ini cuaca cerah dan berangin, membuat suasana menjadi sangat menyenangkan","Sane siki pitungasan cetha lan lemah, nalika ngajakin Suasana amargi banget Seneng."
"Selain menyiapkan konsep acara, saya juga akan mencari sponsor untuk mensupport kegiatan tersebut.","Samubarang ngajeni konsep acara, kula uga bakal ndelengaken sponsor kanggo mbantu kegiatan iki."
"Universitas Negeri Malang memiliki berbagai macam fakultas seperti Fakultas Teknik, Fakultas Ekonomi dan Bisnis, Fakultas Ilmu Pendidikan, dan Fakultas Ilmu Sosial dan Politik.","Universitas Negeri Malang duwe fakultas sing macem-macem kaya Fakultas Teknik, Fakultas Ekonomi lan Bisnis, Fakultas Ilmu Pendidikan, lan Fakultas Ilmu Sosial lan Politik."
Hari ini cuaca sangat panas sehingga semua orang merasa lelah dan haus.,Dinten iki cuaca garing banget nganti kabeh wong ora keno rasa caplak lan setresan.
Kami akan mempersiapkan semuanya dengan matang agar acara pernikahan putri kami berjalan lancar dan meriah.,Kita akan ngunduhake kabeh kanthi matang kanggo ndandani acara panganggone putri kita dadi lancar lan rame.
"Para atlet berkompetisi untuk memperebutkan medali emas, perak, dan perunggu.","Para atlit ngelomba kanggo golek medali emas, perak, lan perunggu."
"Setelah menunggu selama dua jam, akhirnya pesawat tiba di bandara.","Sawise wutuh durung sumilih, endi kesimpenan pesawat nalika tiba ing pangarep."
"Setelah makan siang, para siswa berkumpul di halaman sekolah untuk bermain sepak bola atau bermain permainan tradisional.","Sawise mangan siyang, para siswa ngumpul ing pendhapa sekolah kanggo main sepak bola utawa mainé permainan adat."
"Belajar adalah kunci untuk sukses di masa depan, oleh karena itu tidak ada kata terlambat untuk belajar.",Nyinau yaiku kunci pangarep sukses ing ngisor iku ora ana akehing metuake sing njaluk nyinau.
"Jangan menunda-nunda pekerjaan, selesaikan sekarang juga agar tidak menumpuk.","Ora usah menunda-nunda kerjaan, rampungno saiki jowo biar ora kebanyakan menumpuk."
"Setelah selesai bekerja, saya biasanya langsung pulang ke rumah untuk bersantai dan menonton televisi.","Sawise rampung bekerja, kula biasane mlebu mripat pikahari banjur ngringkes dhumateng sawetara lan nonton tv."
Tidak sehat jika bertahan hidup dalam lingkungan yang kotor dan tidak terjaga kebersihannya.,Ora sehat kalau pokus padha ngandhani njaluk cetha ing lingkung piyambak kang busuk lan ora dirawat kethilangan.
Ayah saya selalu memberikan motivasi dan dukungan agar saya dapat mencapai impian saya.,Bapakku menehi motivasi lan tanggungan supaya aku isa nyatetake panggonan kula.
"Waktu berjalan terus, dan tiba-tiba sudah malam.","Waktu kedul kula bakal terus male, lan tiba-tiba amarga wingi."
"Umumnya, orang menggunakan garam dapur sebagai bahan pengawet.","Saéwoé, wong nganggo garam pitik minangka bahan pangawét."
"Ibu memasak sayur asem dan lauk ikan goreng yang enak. Setelah itu, kami makan bersama-sama di meja makan yang besar dan berbahan kayu jati. Suasana di rumah menjadi hangat dan semarak ketika adik-adik mulai bercerita tentang kejadian lucu di sekolah.","Ibu ngajengakno tumis sayur lan lauk ikan goreng sing enak. Sawise iku, kita mangan sesarengan ing ndalem mangan unggah-ungguhe ing meja mangan sing gede lan lakune saka kayu jati. Partemen ing rumah dilengkapi hangat lan gaduh nalika adik-adik tuwu mulai nyeritakaken babagan ajahe ing sekolah."
Kamu harus rajin belajar bahasa Inggris agar bisa sukses dalam karir internasional.,Kowe kudu tekun nggoleki boso Inggris supaya bisa sukses nglakoni karir internasional.
"Selain itu, kami juga memberikan berbagai kegiatan sosial dalam acara tersebut seperti donor darah dan bakti sosial.","Lain saka kuwi, kita uga ngregahi piranti-piranti sosial ing acara iki kaya donor darah lan bakti sosial."
"Dia selalu melatih dirinya setiap hari untuk menjadi lebih baik dalam olahraga bulutangkis, tak pernah menyerah, dan selalu berusaha keras untuk mencapai tujuannya.","Dheweke tetep nglatih diri saben dina kanggo dados luwih apik ing bulu tangkis, ora pernah nyerah, lan tetep usaha banget kanggo ngasilake tujuan dheweke."
Ibu tiri itu menangis di samping mayat anak tirinya yang telah meninggal dunia.,Brengose ibu tiri nang ngarepan jenaze bocah trenya sing wis padha dunya.
Saya merasa senang dan bangga bisa berpartisipasi dalam kegiatan lingkungan hidup yang bertujuan untuk menjaga kelestarian alam.,Kulo sare seneng lan bangga bisa ngambil bagian ing giatan lingkungan urip sing njangkepi kanggo njaga kelestarian alam.
"Ia tidak mau lagi mengulangi kesalahan yang sama, sehingga ia berusaha untuk menjadi lebih baik lagi dalam kehidupannya.","Dheweke ora pengin mlebu dhasar sing kapisan, nanging dheweke naté ngupaya mlebu dhasar sing luwih apik wae ing uripé."
Mereka merayakan ulang tahun pernikahannya yang ke-50 dengan kencan romantis di tepi pantai.,Ngenani ulang tahun pernikahane mengko yen sabenane 50 taun karo ngaturan lanang winten nengat pantai sing romantis.
Meskipun badannya kecil tapi ia sangat berani dan memiliki kekuatan yang luar biasa.,Lho badane cilik namun banjur wani banget lan uga duwe kekuatan sing ora kalah dhewe.
"Saat itu, disusunlah rencana untuk melakukan penggalangan dana.","Ning wengi sepisan, disusun tata upaya kanggo ngadhepi pendhonoran diri."
"Dia membeli baju baru, celana baru, dan sepatu baru.","Dheweke nduweni belut jangkep, celana jangkep, lan sepatur jangkep anyar."
Semua anak-anak TK diberikan kesempatan untuk belajar membaca dan menulis.,Kabeh bocah-bocah TK dipunambahake kasedyaan kanggo saged alus ngarang lan tresna ngrembaka.
Saya pernah menerima penghargaan sebagai siswa teladan sebanyak tiga kali selama menempuh pendidikan di sekolah.,Aku pernah nembe dadi siswa teladan ana ing sekolah aku selama sakdurunge sakuliah telu wulan.
Matahari yang terbit di ufuk timur memberikan harapan baru setiap pagi.,Srengenge sing miwiti ing ufuk wetana nampahe pitulundhane anyar saben dinten.
"Jika kamu tidak suka, berhentilah. Jangan membuat dirimu terus menderita.","Yen kowe ora seneng, metu saka ana. Ora lungahe nandang rusak diri ngarepe terus."
"Setelah menyelesaikan semua tugasnya, ia pulang ke rumah dengan rasa lega.","Sawise rampungaken kabeh tugasé, dhéwé pulang mudhun ngarepake rasa angen-angen."
Dia melangkah perlahan-lahan sambil tersenyum kecil.,Dheweke mlaku-tetembung dudu-dudu sambil senyum-weler-weler.
"Saya akan melakukan yang terbaik untuk memenangkan perlombaan, bahkan jika itu berarti harus berlatih selama berjam-jam.","Aku bakal nggoakna sing apik kanggone menangaken perlombaan, nganti ngelem kaliyan jam-jam karo nglebokna wektu."
"Hari ini cuaca sangat cerah, langit biru dan matahari bersinar terang.","Dinten iki cuaca pisan cerah, angkasa biru lan srengenge mlayu-wenang."
"Film horor itu berhasil mencapai target penontonnya, dengan adegan-adegan seram serta ceritanya yang membuat penonton terus ingin tahu sampai akhir","Film horor iku sukses nyuwun sasaran penonton, karo adegan-adegan serem lan lingkup panggone sing ngarepe soko mula nganti ujunge."
Saya suka makan nasi goreng ayam di warung dekat kantor.,Aku tresno mangan nasi goreng suwir ayam ing warung wonten ngarep kantor.
"Tadi malam kita makan di restoran cepat saji yang berada di tengah kota,  pelayanannya sangat cepat dan harganya terjangkau.","Wingi saben wengi kita mangan ing restoran cepat saji sing ana ing tengah kota, pelayanane cepet banget lan regane sejuta ora nggojek."
"Kebersihan lingkungan sangat penting bagi kesehatan masyarakat, karena dapat mencegah terjadinya penyakit yang diakibatkan oleh sampah.","Kebersihan lingkungan amat penting kanggo kesehatan masyarakat, amarga bisa njaga sing ora kepenak kanthi penyakit sing disebabake olah sampah."
Anjing yang berkeliaran di jalan raya patut diwaspadai oleh pengendara. Mereka bisa membahayakan diri sendiri maupun pengguna jalan lainnya.,Jenenge asu sing mbrewani ngadhedheli jalan raya patutan diwaspadha dening pengendara. Dheweke bisa ngebahayakake diri dhewe lan wong liya sing nganggo jalan.
Setiap pagi Andi selalu berolahraga di taman sebelah rumahnya.,Setiap bebrayan Andi selalu ngayahi olahraga ing taman tetanggone.
"Kami pergi ke pantai untuk berenang, memancing ikan, dan menikmati keindahan alam.","Kulo mlebu regol nganti pantai supaya berenang, ngupi-wangi saben, lan duduluran sajian keindahan alam."
"Ayah saya suka olahraga tenis, sementara ibu saya lebih suka berenang di kolam renang.","Bapakku seneng senam tenis, sementara ibuku luwih seneng ngambang ing kolam renang."
"Apa yang kamu lakukan itu sangat berbahaya, kamu mempertaruhkan nyawa orang lain.","Apa sing kowe dadiake iku tresnaku banget, sampeyan ngadepi nyawa liyane."
Ikan lele hidup di air tawar dan biasanya berkubang di dasar sungai.,iwak lele tendo urip ing srengenge lan biasane kendel ing dasar sungai.
"Penelitian terbaru menunjukkan bahwa olahraga secara teratur dapat meningkatkan kesehatan jantung, menurunkan risiko obesitas, dan meningkatkan kesejahteraan mental.","Penelitian anyar mikilah manawa olahraga regane bisa nambahi kesehatan jantung, ngedhukung risiko obesitas, lan nambahi welas asih jiwa."
Kita harus segera mengevakuasi mereka yang terjebak di dalam gedung tersebut.,Kita kudu cepet-cepet nyigururi wong sing ketiban duwe gedung iki.
Ayahnya sudah mengecat pagar rumahnya dengan warna hijau tua. Ibu dan adik-adiknya sedang merapikan taman depan rumah.,Bapaké wis ngecat pagar rumahe kanthi ronéh ijo. Ibune lan adik-adhiké arep meluwi taman ngarep rumahe.
Tari Pendet merupakan tarian tradisional Bali yang terkenal dengan gerakan-gerakan indahnya.,Tari Pendet iku tari adi luhung saka Bali sing diakeni karo gerakan-gerakan endahipun.
Banyaknya pecandu game online membuat pemerintah harus memberikan peraturan yang ketat mengenai penggunaan game online.,Akeh wong sing kecanduan game online kanggo ngrangsang pemerintah nyetel aturan sing ketat bagean penggunaan game online.
Kita harus mempersiapkan diri sebaik-baiknya untuk menghadapi ujian itu.,Kita wajib ngaturi dhewe ing papan sajroning kangge ngetrisaken tembung kanggo ditandhesi.
"Kemarin pagi, ketika saya sedang berjalan-jalan di taman, tiba-tiba hujan turun dengan sangat deras.","Wingi esok, nalika kula lagi mudheng-ngadheng neng taman, banjur tiba-tiba ujan deres takon adohing-getihing."
"Saya sedang belajar bahasa asing di kampus. Saat itu, ada teman dari Jepang yang sedang belajar Bahasa Indonesia. Kami saling membantu dalam memperbaiki kemampuan bahasa masing-masing. Kami juga sering mengadakan pertemuan untuk berlatih berbicara dalam bahasa yang sedang dipelajari.","Aku lagi njuruh bahasa asing nang kampus. Saatiku, ana temen saka Jepang sing lagi njuruh Basa Indonesia. Kita saling nglarang nglarani supaya kemampuan bahasa kita masing-masing bisa diwiwiti. Kita uga sering merapat karo manganan biyoslan supaya bisa nglarang ngomong karo basa sing lagi dileresi."
"Dia bekerja keras, belajar sungguh-sungguh, dan terus berusaha untuk meraih mimpinya.","Dheweke kerjo keras, ngrampi sungguh-sungguh, lan tetep nglakoni kanggo nampa ninggalne panggone."
Banyak pemuda-pemuda yang terobsesi untuk menjadi selebriti di media sosial.,Luwih saka setunggal bocah-bocah sing nglakekake kanggo dadi selebriti ing media sosial.
"Saat itu, Ibu memperhatikan tugas-tugas rumah dan Ayah membeli perlengkapan sekolah anak-anak.","Ing waktu iku, Ibunda nglebur tugas-tugas rungokan lan Bapak ngrusak perlengkapan sekolah bocah-bocah."
Ibu menanyakan tentang bagaimana cara memasak spaghetti carbonara yang enak,Bapakmi nanya kabeh carane masak spaghetti carbonara sing sedhap.
Dia sudah berjalan-jalan ke seluruh kota sejak pagi tadi.,"Dheweke wis ndalan sareng-sareng kutha kaping sok, marang awal pratama."
Kuliah di perguruan tinggi terkemuka bukanlah jaminan untuk sukses di masa depan.,Ning ngajar ing perguruan tinggi laras utama ora ngaturi kemenangan kanggo nduweni hasil sing apik ing njegèniki.
Para ahli sepak bola internasional sedang membahas persiapan untuk ajang Piala Dunia.,Pangulon saben ahli sepak bola internasional anggone ngomong babagan persiapan kanggo ajang Piala Dunia.
"Meskipun hujan deras, tetap saja ada orang yang berjalan kaki di jalan raya tanpa payung.","Ana wong sing mudhun mangan ndhiwong sawah rinenggan saben dina, nanging yen ujanthengak tetep ana wong sing ndhodok jalan kaki ing jalan raya tanpa payung."
Dia pergi ke kota untuk mencari pekerjaan yang lebih baik daripada yang saat ini ia miliki di desa.,Samubarang langkung marang kutha kanggo nggoleki kerjoan sing luwih apik tinimbang sing saiki wis ana ing desa.
Ia tidak tahu bahwa rahasia itu adalah tentang kebenaran yang sama sekali tidak berhubungan dengan kejahatan.,Dheweke ora weruh yen rahasia kuwi babagan kasedhengan sing ora saged hubungane karo keplesetan.
Kita harus bekerja keras untuk mencapai tujuan.,Kita kudu bekerja keras kanggo nganti tujuan tercapai.
"Pemandangan yang indah di tepi pantai membuat kami merasa lebih dekat dengan alam, dan deburan ombak memberi ketenangan di dalam hati.",Panyimpenan sing alus wonten ing randha pantai ngempalake kami mrenekake mripat karo alam sarta regaingan tibananing ombak ngasupi kesaenane ing ciptaning ati.
"Setelah lulus dari sekolah, ia memutuskan untuk melanjutkan studinya di luar negeri.","Sawise tamat sekolah, dheweke mlebu milih menerusake studine ing luar negeri."
Kucingku suka sekali makan ikan dan tidur di bawah sinar matahari,Kucingku seneng banget mangan iwak lan tedhak ndhuwur ngisor darbe sinare matahari.
Dia hendaknya mempelajari dasar-dasar hukum sebelum memutuskan untuk melawan kasus tersebut di pengadilan.,Dheweke kudu ngrungokake dasar-dasar hukum sadurunge ndelokna sutradara kanggo njaluk kasus ing pengadilan.
"Meski harganya sedikit lebih mahal, namun aku lebih memilih membeli produk lokal agar lebih mendukung perekonomian daerah.","Walaupun kathahipun sedikit luwih duwe harga, nanging aku luwih apik milih nganti nembung produk lokal supaya tambah nguwwuhan perekonomian daerah."
"Kita harus selalu menjaga kesehatan, dengan berolahraga dan mengonsumsi makanan bergizi.","Kita kudu maringi perhatian karo kesehatan, nggunakake olahraga lan ngomong-omong mangan manganan kangge gizi."
"Jangan pernah berhenti belajar, karena hidup ini selalu memberikan pelajaran.","Ora pernah nglalekake kasil, amarga urip iki isih kasat mata dados pitulungan."
"Banyaknya tugas yang harus diselesaikan membuat hari-hari belakangan ini terasa sangat sibuk, namun harus diakui bahwa tugas-tugas tersebut sangat bermanfaat bagi kemajuan perusahaan.","Sawetara tugas sing kudu digawesi nganti-ranti niku ngrasa piyambak banget, nanging kudu ngakuake asale tugas-tugas niki banget bermanfaat kanggo klebuhan perusahaan."
Pohon-pohon rindang dan pepohonan hijau memenuhi ruas jalan yang indah.,Wanira-pohon aneurkanan lan pokalahan wadas kelangan ngisi tengah jalan sing alus.
Senja yang membuat aku ingin berkunjung lagi ke tempat ini,Sembahyang sing ngeyakin-akeni awakku nglakoni lawatane menyang kene.
"Permukaan Danau Toba seluas 1.130 km², menjadikannya danau alami terbesar di Indonesia.","Permukaan Danau Toba tegese 1.130 km², ningali marang danau alami gedhe ing Indonesia."
"Ratusan ribu wisatawan dari seluruh dunia setiap tahunnya berkunjung ke Bali untuk menikmati keindahan pantai, tempat wisata budaya, dan kuliner khas Bali.","Ratusan ribu wisatawan saka kabeh dunia sak-tauné mudhun menyang Bali tumrap katrangansegara, tempat pitulasan budaya, lan jajanan ala Bali."
"Setelah selesai memancing, kami memasak ikan bakar di atas api unggun.","Sawise rampung mancing, kita masak iwak bakar nganti maringi api unggun."
"Kamu harus segera datang ke kantor, jangan sampai terlambat!","Sampean kudu cepet reh dateng karo kantor, ora sumeben melu terlambat!"
"Meskipun hujan lebat, tetapi kami tetap melanjutkan perjalanan.","Nalika ujan deres, wong kanggo tetep melanjutake perjalanan."
"Di pagi hari yang cerah ini, kami berencana untuk pergi ke pantai untuk menikmati pemandangan yang indah.","Duduluran pagi iki, kulo rencanane bakal mlebu kaping pantai kanggo wisata menikmati pemandangan sing apik."
"Bukannya memperbanyak air, malah mengurangi air di bumi.","Ora perbanyak wewengkon, malah ngurangi wewengkon dudu."
Kucing hitam tersebut seringkali dipandang sebagai binatang yang membawa sial.,Kucing ireng iki ana kang ana-kang dipandang minangka satwa sing bakal mbawa alebihan.
Dia selalu tersenyum manis setiap kali bertemu dengan orang lain.,Dheweke tresnamu cetha kapan ketemu karo wong liyane.
Mereka saling menatap dengan tatapan tajam.,Sampun nguri-uri kanthi pandhangan tajem.
"Waktu itu, kondisinya sangat sulit karena harus mengurus anak kecil dan suaminya sakit parah.","Saat kuwi kondhisiyane sangat angel, nebe kudu ngurusi bocah cilik lan suwaminyane pegel parah."
"Mobil tersebut bermerek Toyota, telah digunakan selama lima tahun, dan memiliki mesin diesel.","Mobil sing kesuwene bermerek Toyota, wis digunakake sakdurunge lima taun, lan maringi mesin diesel."
"Setelah menempuh perjalanan yang cukup lama, akhirnya Rudi tiba di pantai dengan pemandangan yang sungguh indah.","Sawisé ngêntêni perjalanan liya, finally Rudi sampun tembus ing pantai karo pemandangan sing ayu banget."
"Para ilmuwan sedang bekerja keras untuk menemukan vaksin yang efektif dan aman untuk melindungi manusia dari virus mematikan ini. Namun, diperlukan waktu dan uji coba yang intensif sebelum vaksin tersebut dapat dinyatakan aman dan disetujui untuk digunakan.","Para pakar berjuang nganti ngetokake vaksin sing efektif lan aman kanggo ngelindhungi manungsa saka virus sing bisa ndadari iki. Nanging, dibutuhake waktu lan pambuktian sing intensif sadurunge vaksin iki bisa dinyatake aman lan diijiniake kanggo digunakake."
Pesawat ini terbang menuju ke London dengan kecepatan 900 km/jam.,Pesawat iki mlayu gesang kanggo mlebu London karo kecepate 900 km/jam.
Dia bekerja keras di kantor dan selalu memberikan yang terbaik dalam pekerjaannya.,Dheweke kerjo aranjo ing kantor lan tumindak selalu ngènjèkèkèn sing paling apik ing tindakane.
"Suatu ketika, di sebuah hutan lebat, terdapat seekor harimau yang sedang merenung.","Sawise sawetara wengi, ing tengah hutan rimbunan, ana satunggaling macan sing lagi mikir."
"Setelah hujan selesai, bau tanah basah menyegarkan udara dan pepohonan tampak lebih hijau.","Sawise hujan rampung, wedhus tanah luwih medhet udara lan wong saiki nampa dodolan ijo."
"Jangan buru-buru, makanlah dengan perlahan agar tidak tersedak.","Mugi-mugi ora cepet-cepet, mangan mbokono nganti melo-melo supoyo ora nyeklek."
Ayahku sedang membaca koran di teras rumah.,Bapakku lagi moco koran nang beber kene.
"Sebagai seorang penulis, haruslah memiliki kreativitas dan ide yang segar untuk membuat sebuah karya yang bermutu.","Sebagai penulis, kudu gadhah kreasi lan ide anyar kanggo ndhukung ngameksi karya sing apik."
Para pekerja di pabrik tersebut memprotes ketua serikat pekerja karena tidak mampu membela hak-hak mereka.,Para wong usaha ing pabrik iku nggagas ketua serikat pekerja nanging ora iso rampungake hak-hak wong-wong usaha.
"Setelah mandi, Ayah dan Ibu pergi ke toko untuk membeli bahan makanan dan keperluan rumah tangga.","Sajrone mandi, Bapak lan Ibu kepengin ngadangukeun pasar kanggo nyiptakeun bahan mangan lan peralatan tangga rumah."
Dia bergegas menuju ke kantor karena sudah terlambat.,Dheweke goncang endur nganti kantor sawise durung awan.
"Ayah saya berprofesi sebagai pengacara di salah satu firma hukum ternama di kota. Selain itu, beliau sering memberikan pelatihan dan seminar tentang hukum kepada para mahasiswa dan masyarakat umum.","Bapakku ngasilake profesine minangka pengacara ing salah siji kantor hukum terkenal ing kutha. Menawi karepe dhateng pelajar lan wong cilik, beliau werna pangajaran lan seminar kabeh babagan hukum."
Anak-anak di sekolah mengenakan seragam yang sama untuk memberikan kesan kesetaraan dalam pendidikan.,Anak-anak ing sekolah nganggo seragam sing padha kanggo ngidini persepsi kesetaraan ing pendidikan.
Saya selalu merasa bahagia ketika melihat senyum anak-anak kecil yang lucu dan menggemaskan.,Aku selalu seneng waktu ngeliat senyum bocah cilik sing lucu lan gemesin.
